strategy,question,gold_doc_id,top1_doc_id,top5_doc_ids,hit_at_1,hit_at_3,hit_at_5,mrr,ndcg_at_5,rag_keyword_recall,baseline_keyword_recall,rag_answer,baseline_answer
hybrid_rrf,选课错过第一轮，还能补选吗？,KB001,KB062,KB062|KB001|KB065|KB063|KB071,0,1,1,0.5,0.6309297535714575,0.3333333333333333,0.0,"根据知识库中「第一轮选课被筛选掉怎么办」的说明：第一轮选课被筛选掉怎么办。第一轮选课存在筛选机制，学校会结合专业课表、课程容量和选课规则处理结果。被筛选掉并不等于不能再修读该课程，学生应在后续轮次及时查看课程余量，选择同一课程未满容量的其他教学班，或根据培养方案选择可替代课程。已经选上的必修课不要随意改选，尤其公共课较多的低年级学生，避免释放名额后短时间无法重新选回。若课程对毕业、专业模块或先修关系有影响，应先咨询学院教务科，再在选课开放期内处理。超过通知规定时段后，系统和本科生院通常不再受理普通改选课请求。
同时可参考：选课时间与补退选[KB001]；未缴学费会影响选课吗[KB065]；选课申请和代理选课怎么处理[KB063]；选了课不参加考试有什么后果[KB071]。
来源：同济大学本科生院选课通知，引用编号：[KB062]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,两门课时间冲突怎么办？,KB002,KB002,KB002|KB069|KB066|KB098|KB062,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「课程冲突处理」的说明：课程冲突处理。若两门课程上课时间冲突，系统会自动拦截选课。确需修读的学生应先联系任课教师和所在学院，提交课程冲突修读申请，经学院审核通过后由教务老师手工处理。考试时间冲突需另行申请缓考。
同时可参考：考试时间或校区冲突怎么申请缓考[KB069]；跨学科互选课程怎么申请[KB066]；体育课退课和漏选怎么处理[KB098]；第一轮选课被筛选掉怎么办[KB062]。
来源：校园教务办事指南，引用编号：[KB002]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,我觉得成绩登错了，多久内可以申请复核？,KB003,KB003,KB003|KB033|KB072|KB068|KB100,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「成绩查询与复核」的说明：成绩查询与复核。课程成绩发布后，学生可在教务系统成绩查询模块查看成绩。若对成绩有疑问，应在成绩公布后5个工作日内提交成绩复核申请。复核主要检查登分、统分和漏判情况，不重新评阅主观题。
同时可参考：重修报名流程[KB033]；重考和补考信息怎么关注[KB072]；因病申请缓考需要哪些材料[KB068]；体测免测或缓测怎么申请[KB100]。
来源：校园教务办事指南，引用编号：[KB003]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,期末考试座位在哪里查？,KB004,KB004,KB004|KB067|KB038|KB070|KB097,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「期末考试安排查询」的说明：期末考试安排查询。期末考试安排一般在考试周前两周公布。学生可通过教务系统、学院通知群或教学秘书发布的考试安排表查询考试时间、地点和座位。参加考试时需携带学生证或校园卡等有效证件。
同时可参考：本科期末考核信息在哪里查[KB067]；图书馆座位预约[KB038]；考试证件和考场纪律提醒[KB070]；体育场馆开放和预约信息在哪里看[KB097]。
来源：考试管理办法摘要，引用编号：[KB004]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,生病不能参加考试怎么申请缓考？,KB005,KB005,KB005|KB068|KB072|KB069|KB002,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「缓考申请流程」的说明：缓考申请流程。学生因病或不可抗力无法参加考试时，应在考试前提交缓考申请，并上传医院证明、交通证明等材料。经任课教师、学院和教务处审核通过后，可参加学校统一组织的缓考。无故缺考按课程考核规定处理。
同时可参考：因病申请缓考需要哪些材料[KB068]；重考和补考信息怎么关注[KB072]；考试时间或校区冲突怎么申请缓考[KB069]；课程冲突处理[KB002]。
来源：考试管理办法摘要，引用编号：[KB005]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,图书馆周末几点开门？,KB006,KB006,KB006|KB085|KB038|KB008|KB087,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「图书馆开放时间」的说明：图书馆开放时间。图书馆阅览区工作日开放时间为8:00至22:00，周末开放时间为9:00至21:00。法定节假日和寒暑假开放安排以图书馆官网通知为准。闭馆前30分钟停止入馆。
同时可参考：图书馆开放时间在哪里看[KB085]；图书馆座位预约[KB038]；电子资源校外访问[KB008]；校外怎么访问图书馆电子资源[KB087]。
来源：图书馆读者手册，引用编号：[KB006]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,本科生最多可以借几本书？,KB007,KB086,KB086|KB007|KB061|KB089|KB068,0,1,1,0.5,0.6309297535714575,0.6666666666666666,0.0,"根据知识库中「本科生可以借多少本书和续借几次」的说明：本科生可以借多少本书和续借几次。同济大学图书馆图书借阅规则规定，借阅图书需凭本人已开通借书功能的一卡通办理。全日制本科生可借阅的图书数量和期限应以图书馆最新规则为准；研究生手册所列规则中，全日制本科生可借20册，借阅时间30天，可续借2次，每次续借15天。读者可在图书到期前按规定网上自助续借或到馆办理，被预约图书不能续借，古籍、特藏、报刊及合订本一般只提供阅览不外借。若逾期未还或有违章记录，可能影响后续借阅。借书前建议登录我的图书馆查看个人借阅权限、到期日和预约状态。
同时可参考：图书借阅期限与续借[KB007]；本科生如何进入1系统选课[KB061]；找不到需要的书可以荐购吗[KB089]；因病申请缓考需要哪些材料[KB068]。
来源：同济大学图书馆图书借阅规则，引用编号：[KB086]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,在校外怎么访问图书馆数据库？,KB008,KB008,KB008|KB087|KB090|KB038|KB089,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「电子资源校外访问」的说明：电子资源校外访问。校外访问图书馆数据库时，学生可使用学校统一身份认证登录 VPN 或图书馆远程访问系统。登录后可访问电子期刊、学位论文、电子书等资源。账号异常时可联系图书馆信息服务部。
同时可参考：校外怎么访问图书馆电子资源[KB087]；论文查重、查收查引和科技查新找哪里[KB090]；图书馆座位预约[KB038]；找不到需要的书可以荐购吗[KB089]。
来源：图书馆读者手册，引用编号：[KB008]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,校园卡丢了第一步应该做什么？,KB009,KB009,KB009|KB041|KB084|KB083|KB040,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「校园卡挂失与补办」的说明：校园卡挂失与补办。校园卡遗失后应尽快在校园卡服务平台或自助终端办理挂失，避免余额被盗刷。补办需携带身份证或学生证到校园卡服务中心办理，补卡后原卡自动失效，余额通常在1个工作日内转入新卡。
同时可参考：校园卡门禁权限异常[KB041]；校园卡只能本人使用吗[KB084]；毕业或离校时校园卡余额怎么办[KB083]；校园卡余额退款[KB040]。
来源：校园卡服务指南，引用编号：[KB009]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
hybrid_rrf,校园卡线上充值后没到账怎么办？,KB010,KB010,KB010|KB080|KB083|KB009|KB079,1,1,1,1.0,1.0,1.0,0.0,"根据知识库中「校园卡充值方式」的说明：校园卡充值方式。校园卡支持手机端线上充值、自助充值机充值和服务窗口充值。线上充值后若余额未即时到账，可在食堂或自助终端进行补写卡操作。充值记录可在校园卡服务平台查询。
同时可参考：校园卡有哪些充值方式[KB080]；毕业或离校时校园卡余额怎么办[KB083]；校园卡挂失与补办[KB009]；校园卡丢失后如何挂失和补办[KB079]。
来源：校园卡服务指南，引用编号：[KB010]。",这是未接入知识库的通用回答：建议先查看学校官网、学院通知或咨询相关部门。由于没有检索校园手册，无法给出具体办理时间、材料和流程。
